source_id,system,height_storeys,HWR,foundation_soil,T_fixed_s,T_flexible_s,lambda,eta_from_lambda,source_table,extraction_note
E01,FCT,40,4,piled_Ee,2.582,3.569,1.382,0.911,Table 7,"period table extraction only; response ratios still need figure/table digitization"
E01,FCT,40,4,piled_De,2.582,2.822,1.093,0.195,Table 7,"period table extraction only; response ratios still need figure/table digitization"
E01,FCT,40,4,piled_Ce,2.582,2.716,1.052,0.106,Table 7,"period table extraction only; response ratios still need figure/table digitization"
E01,FCT,40,4,comp_Ee,2.582,3.791,1.468,1.156,Table 7,"period table extraction only; response ratios still need figure/table digitization"
E01,FCT,40,4,comp_De,2.582,2.930,1.135,0.288,Table 7,"period table extraction only; response ratios still need figure/table digitization"
E01,FCT,40,4,comp_Ce,2.582,2.755,1.067,0.138,Table 7,"period table extraction only; response ratios still need figure/table digitization"
E01,FSW,20,6,piled_Ee,0.999,1.410,1.411,0.992,Table 8,"period table extraction only; response ratios still need figure/table digitization"
E01,FSW,20,6,piled_De,0.999,1.180,1.181,0.395,Table 8,"period table extraction only; response ratios still need figure/table digitization"
E01,FSW,20,6,piled_Ce,0.999,1.135,1.136,0.291,Table 8,"period table extraction only; response ratios still need figure/table digitization"
E01,FSW,20,6,comp_Ee,0.999,1.743,1.745,2.044,Table 8,"period table extraction only; response ratios still need figure/table digitization"
E01,FSW,20,6,comp_De,0.999,1.225,1.226,0.504,Table 8,"period table extraction only; response ratios still need figure/table digitization"
E01,FSW,20,6,comp_Ce,0.999,1.136,1.137,0.293,Table 8,"period table extraction only; response ratios still need figure/table digitization"
E01,FSW,20,5,piled_Ee,1.027,1.408,1.371,0.880,Table 8,"period table extraction only; response ratios still need figure/table digitization"
E01,FSW,20,5,piled_De,1.027,1.200,1.168,0.365,Table 8,"period table extraction only; response ratios still need figure/table digitization"
E01,FSW,20,5,piled_Ce,1.027,1.138,1.108,0.228,Table 8,"period table extraction only; response ratios still need figure/table digitization"
E01,FSW,20,5,comp_Ee,1.027,1.618,1.575,1.482,Table 8,"period table extraction only; response ratios still need figure/table digitization"
E01,FSW,20,5,comp_De,1.027,1.214,1.182,0.397,Table 8,"period table extraction only; response ratios still need figure/table digitization"
E01,FSW,20,5,comp_Ce,1.027,1.135,1.105,0.221,Table 8,"period table extraction only; response ratios still need figure/table digitization"
E01,FSW,20,4,piled_Ee,1.005,1.352,1.345,0.810,Table 8,"period table extraction only; response ratios still need figure/table digitization"
E01,FSW,20,4,piled_De,1.005,1.183,1.177,0.386,Table 8,"period table extraction only; response ratios still need figure/table digitization"
E01,FSW,20,4,piled_Ce,1.005,1.132,1.126,0.269,Table 8,"period table extraction only; response ratios still need figure/table digitization"
E01,FSW,20,4,comp_Ee,1.005,1.584,1.576,1.484,Table 8,"period table extraction only; response ratios still need figure/table digitization"
E01,FSW,20,4,comp_De,1.005,1.206,1.200,0.440,Table 8,"period table extraction only; response ratios still need figure/table digitization"
E01,FSW,20,4,comp_Ce,1.005,1.121,1.115,0.244,Table 8,"period table extraction only; response ratios still need figure/table digitization"
E01,FSW,30,6,piled_Ee,1.752,2.322,1.325,0.757,Table 9,"period table extraction only; response ratios still need figure/table digitization"
E01,FSW,30,6,piled_De,1.752,2.017,1.151,0.325,Table 9,"period table extraction only; response ratios still need figure/table digitization"
E01,FSW,30,6,piled_Ce,1.752,1.923,1.098,0.205,Table 9,"period table extraction only; response ratios still need figure/table digitization"
E01,FSW,30,6,comp_Ee,1.752,2.737,1.562,1.441,Table 9,"period table extraction only; response ratios still need figure/table digitization"
E01,FSW,30,6,comp_De,1.752,2.065,1.179,0.389,Table 9,"period table extraction only; response ratios still need figure/table digitization"
E01,FSW,30,6,comp_Ce,1.752,1.931,1.102,0.215,Table 9,"period table extraction only; response ratios still need figure/table digitization"
E01,FSW,30,5,piled_Ee,1.798,2.264,1.259,0.586,Table 9,"period table extraction only; response ratios still need figure/table digitization"
E01,FSW,30,5,piled_De,1.798,2.016,1.121,0.257,Table 9,"period table extraction only; response ratios still need figure/table digitization"
E01,FSW,30,5,piled_Ce,1.798,1.935,1.076,0.158,Table 9,"period table extraction only; response ratios still need figure/table digitization"
E01,FSW,30,5,comp_Ee,1.798,2.717,1.511,1.283,Table 9,"period table extraction only; response ratios still need figure/table digitization"
E01,FSW,30,5,comp_De,1.798,2.068,1.150,0.323,Table 9,"period table extraction only; response ratios still need figure/table digitization"
E01,FSW,30,5,comp_Ce,1.798,1.943,1.081,0.168,Table 9,"period table extraction only; response ratios still need figure/table digitization"
E01,FSW,30,4,piled_Ee,1.768,2.236,1.265,0.599,Table 9,"period table extraction only; response ratios still need figure/table digitization"
E01,FSW,30,4,piled_De,1.768,1.989,1.125,0.266,Table 9,"period table extraction only; response ratios still need figure/table digitization"
E01,FSW,30,4,piled_Ce,1.768,1.917,1.084,0.176,Table 9,"period table extraction only; response ratios still need figure/table digitization"
E01,FSW,30,4,comp_Ee,1.768,2.593,1.467,1.151,Table 9,"period table extraction only; response ratios still need figure/table digitization"
E01,FSW,30,4,comp_De,1.768,2.028,1.147,0.316,Table 9,"period table extraction only; response ratios still need figure/table digitization"
E01,FSW,30,4,comp_Ce,1.768,1.923,1.088,0.183,Table 9,"period table extraction only; response ratios still need figure/table digitization"
E01,FSW,40,6,piled_Ee,2.450,3.252,1.327,0.762,Table 10,"period table extraction only; response ratios still need figure/table digitization"
E01,FSW,40,6,piled_De,2.450,2.873,1.173,0.375,Table 10,"period table extraction only; response ratios still need figure/table digitization"
E01,FSW,40,6,piled_Ce,2.450,2.679,1.093,0.196,Table 10,"period table extraction only; response ratios still need figure/table digitization"
E01,FSW,40,6,comp_Ee,2.450,3.773,1.540,1.372,Table 10,"period table extraction only; response ratios still need figure/table digitization"
E01,FSW,40,6,comp_De,2.450,2.826,1.153,0.330,Table 10,"period table extraction only; response ratios still need figure/table digitization"
E01,FSW,40,6,comp_Ce,2.450,2.641,1.078,0.162,Table 10,"period table extraction only; response ratios still need figure/table digitization"
E01,FSW,40,5,piled_Ee,2.482,3.195,1.287,0.657,Table 10,"period table extraction only; response ratios still need figure/table digitization"
E01,FSW,40,5,piled_De,2.482,2.875,1.158,0.342,Table 10,"period table extraction only; response ratios still need figure/table digitization"
E01,FSW,40,5,piled_Ce,2.482,2.692,1.085,0.176,Table 10,"period table extraction only; response ratios still need figure/table digitization"
E01,FSW,40,5,comp_Ee,2.482,3.756,1.513,1.290,Table 10,"period table extraction only; response ratios still need figure/table digitization"
E01,FSW,40,5,comp_De,2.482,2.867,1.155,0.334,Table 10,"period table extraction only; response ratios still need figure/table digitization"
E01,FSW,40,5,comp_Ce,2.482,2.701,1.088,0.184,Table 10,"period table extraction only; response ratios still need figure/table digitization"
E01,FSW,40,4,piled_Ee,2.512,3.281,1.306,0.706,Table 10,"period table extraction only; response ratios still need figure/table digitization"
E01,FSW,40,4,piled_De,2.512,2.853,1.136,0.290,Table 10,"period table extraction only; response ratios still need figure/table digitization"
E01,FSW,40,4,piled_Ce,2.512,2.683,1.068,0.141,Table 10,"period table extraction only; response ratios still need figure/table digitization"
E01,FSW,40,4,comp_Ee,2.512,3.375,1.344,0.805,Table 10,"period table extraction only; response ratios still need figure/table digitization"
E01,FSW,40,4,comp_De,2.512,2.857,1.137,0.294,Table 10,"period table extraction only; response ratios still need figure/table digitization"
E01,FSW,40,4,comp_Ce,2.512,2.685,1.069,0.142,Table 10,"period table extraction only; response ratios still need figure/table digitization"
